Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,29/07/2022 20:00,Kirklees Stadium,Huddersfield Town,Burnley,0 - 1
2,1,30/07/2022 15:00,Ewood Park,Blackburn Rovers,Queens Park Rangers,1 - 0
3,1,30/07/2022 15:00,Bloomfield Road,Blackpool,Reading,1 - 0
4,1,30/07/2022 15:00,Cardiff City Stadium,Cardiff City,Norwich City,1 - 0
5,1,30/07/2022 15:00,MKM Stadium,Hull City,Bristol City,2 - 1
6,1,30/07/2022 15:00,Kenilworth Road,Luton Town,Birmingham City,0 - 0
7,1,30/07/2022 15:00,The Den,Millwall,Stoke City,2 - 0
8,1,30/07/2022 15:00,New York Stadium,Rotherham United,Swansea City,1 - 1
9,1,30/07/2022 15:00,DW Stadium,Wigan Athletic,Preston North End,0 - 0
10,1,30/07/2022 17:30,Riverside Stadium,Middlesbrough,West Bromwich Albion,1 - 1
11,1,31/07/2022 12:00,Stadium of Light,Sunderland,Coventry City,1 - 1
12,1,01/08/2022 20:00,Vicarage Road,Watford,Sheffield United,1 - 0
13,2,05/08/2022 19:45,St Andrew's,Birmingham City,Huddersfield Town,2 - 1
17,2,06/08/2022 12:30,Carrow Road,Norwich City,Wigan Athletic,1 - 1
14,2,06/08/2022 15:00,Ashton Gate Stadium,Bristol City,Sunderland,2 - 3
15,2,06/08/2022 15:00,Turf Moor,Burnley,Luton Town,1 - 1
18,2,06/08/2022 15:00,Deepdale,Preston North End,Hull City,0 - 0
19,2,06/08/2022 15:00,Loftus Road,Queens Park Rangers,Middlesbrough,3 - 2
20,2,06/08/2022 15:00,Madejski Stadium,Reading,Cardiff City,2 - 1
21,2,06/08/2022 15:00,Bramall Lane,Sheffield United,Millwall,2 - 0
22,2,06/08/2022 15:00,bet365 Stadium,Stoke City,Blackpool,2 - 0
23,2,06/08/2022 15:00,Swansea.com Stadium,Swansea City,Blackburn Rovers,0 - 3
24,2,08/08/2022 20:00,The Hawthorns,West Bromwich Albion,Watford,1 - 1
16,2,25/10/2022 19:45,Coventry Building Society Arena,Coventry City,Rotherham United,2 - 2
35,3,12/08/2022 20:00,Vicarage Road,Watford,Burnley,1 - 0
27,3,13/08/2022 12:30,Cardiff City Stadium,Cardiff City,Birmingham City,1 - 0
26,3,13/08/2022 15:00,Bloomfield Road,Blackpool,Swansea City,0 - 1
28,3,13/08/2022 15:00,Kirklees Stadium,Huddersfield Town,Stoke City,3 - 1
29,3,13/08/2022 15:00,MKM Stadium,Hull City,Norwich City,2 - 1
30,3,13/08/2022 15:00,Kenilworth Road,Luton Town,Preston North End,0 - 1
32,3,13/08/2022 15:00,The Den,Millwall,Coventry City,3 - 2
33,3,13/08/2022 15:00,New York Stadium,Rotherham United,Reading,4 - 0
34,3,13/08/2022 15:00,Stadium of Light,Sunderland,Queens Park Rangers,2 - 2
36,3,13/08/2022 15:00,DW Stadium,Wigan Athletic,Bristol City,1 - 1
31,3,14/08/2022 14:00,Riverside Stadium,Middlesbrough,Sheffield United,2 - 2
25,3,14/08/2022 15:00,Ewood Park,Blackburn Rovers,West Bromwich Albion,2 - 1
37,4,16/08/2022 19:45,St Andrew's,Birmingham City,Watford,1 - 1
38,4,16/08/2022 19:45,Ashton Gate Stadium,Bristol City,Luton Town,2 - 0
39,4,16/08/2022 19:45,Turf Moor,Burnley,Hull City,1 - 1
41,4,16/08/2022 19:45,Carrow Road,Norwich City,Huddersfield Town,2 - 1
42,4,16/08/2022 19:45,Deepdale,Preston North End,Rotherham United,0 - 0
45,4,16/08/2022 19:45,Swansea.com Stadium,Swansea City,Millwall,2 - 2
43,4,16/08/2022 20:00,Loftus Road,Queens Park Rangers,Blackpool,0 - 1
47,4,17/08/2022 19:45,bet365 Stadium,Stoke City,Middlesbrough,2 - 2
44,4,17/08/2022 20:00,Bramall Lane,Sheffield United,Sunderland,2 - 1
46,4,17/08/2022 20:00,Madejski Stadium,Reading,Blackburn Rovers,3 - 0
48,4,17/08/2022 20:00,The Hawthorns,West Bromwich Albion,Cardiff City,0 - 0
40,4,08/11/2022 19:45,Coventry Building Society Arena,Coventry City,Wigan Athletic,2 - 0
53,5,19/08/2022 20:00,Carrow Road,Norwich City,Millwall,2 - 0
49,5,20/08/2022 15:00,St Andrew's,Birmingham City,Wigan Athletic,0 - 1
51,5,20/08/2022 15:00,Turf Moor,Burnley,Blackpool,3 - 3
54,5,20/08/2022 15:00,Deepdale,Preston North End,Watford,0 - 0
55,5,20/08/2022 15:00,Loftus Road,Queens Park Rangers,Rotherham United,1 - 1
56,5,20/08/2022 15:00,Madejski Stadium,Reading,Middlesbrough,1 - 0
57,5,20/08/2022 15:00,Bramall Lane,Sheffield United,Blackburn Rovers,3 - 0
58,5,20/08/2022 15:00,bet365 Stadium,Stoke City,Sunderland,0 - 1
59,5,20/08/2022 15:00,Swansea.com Stadium,Swansea City,Luton Town,0 - 2
60,5,20/08/2022 15:00,The Hawthorns,West Bromwich Albion,Hull City,5 - 2
50,5,21/08/2022 12:00,Ashton Gate Stadium,Bristol City,Cardiff City,2 - 0
52,5,28/01/2023 15:00,Coventry Building Society Arena,Coventry City,Huddersfield Town,2 - 0
66,6,26/08/2022 20:00,Kenilworth Road,Luton Town,Sheffield United,1 - 1
70,6,27/08/2022 12:30,Stadium of Light,Sunderland,Norwich City,0 - 1
61,6,27/08/2022 15:00,Ewood Park,Blackburn Rovers,Stoke City,0 - 1
62,6,27/08/2022 15:00,Bloomfield Road,Blackpool,Bristol City,3 - 3
63,6,27/08/2022 15:00,Cardiff City Stadium,Cardiff City,Preston North End,0 - 0
64,6,27/08/2022 15:00,Kirklees Stadium,Huddersfield Town,West Bromwich Albion,2 - 2
65,6,27/08/2022 15:00,MKM Stadium,Hull City,Coventry City,3 - 2
67,6,27/08/2022 15:00,Riverside Stadium,Middlesbrough,Swansea City,2 - 1
68,6,27/08/2022 15:00,The Den,Millwall,Reading,0 - 1
69,6,27/08/2022 15:00,New York Stadium,Rotherham United,Birmingham City,2 - 0
71,6,27/08/2022 15:00,Vicarage Road,Watford,Queens Park Rangers,2 - 3
72,6,27/08/2022 15:00,DW Stadium,Wigan Athletic,Burnley,1 - 5
73,7,30/08/2022 19:45,St Andrew's,Birmingham City,Norwich City,1 - 2
74,7,30/08/2022 19:45,Turf Moor,Burnley,Millwall,2 - 0
75,7,30/08/2022 19:45,Cardiff City Stadium,Cardiff City,Luton Town,1 - 2
76,7,30/08/2022 19:45,Loftus Road,Queens Park Rangers,Hull City,3 - 1
78,7,30/08/2022 19:45,DW Stadium,Wigan Athletic,West Bromwich Albion,1 - 1
82,7,30/08/2022 19:45,Bramall Lane,Sheffield United,Reading,4 - 0
77,7,30/08/2022 20:00,Vicarage Road,Watford,Middlesbrough,2 - 1
80,7,31/08/2022 19:45,Ashton Gate Stadium,Bristol City,Huddersfield Town,2 - 0
81,7,31/08/2022 19:45,Coventry Building Society Arena,Coventry City,Preston North End,0 - 1
83,7,31/08/2022 19:45,Stadium of Light,Sunderland,Rotherham United,3 - 0
84,7,31/08/2022 19:45,bet365 Stadium,Stoke City,Swansea City,1 - 1
79,7,31/08/2022 20:00,Bloomfield Road,Blackpool,Blackburn Rovers,0 - 1
96,8,02/09/2022 20:00,The Hawthorns,West Bromwich Albion,Burnley,1 - 1
85,8,03/09/2022 15:00,Ewood Park,Blackburn Rovers,Bristol City,2 - 3
88,8,03/09/2022 15:00,Kenilworth Road,Luton Town,Wigan Athletic,1 - 2
90,8,03/09/2022 15:00,The Den,Millwall,Cardiff City,2 - 0
91,8,03/09/2022 15:00,Carrow Road,Norwich City,Coventry City,3 - 0
92,8,03/09/2022 15:00,Deepdale,Preston North End,Birmingham City,0 - 1
94,8,03/09/2022 15:00,New York Stadium,Rotherham United,Watford,1 - 1
95,8,03/09/2022 15:00,Swansea.com Stadium,Swansea City,Queens Park Rangers,1 - 0
93,8,04/09/2022 12:00,Madejski Stadium,Reading,Stoke City,2 - 1
86,8,04/09/2022 15:00,Kirklees Stadium,Huddersfield Town,Blackpool,0 - 1
87,8,04/09/2022 15:00,MKM Stadium,Hull City,Sheffield United,0 - 2
89,8,05/09/2022 20:00,Riverside Stadium,Middlesbrough,Sunderland,1 - 0
108,9,11/10/2022 19:45,DW Stadium,Wigan Athletic,Blackburn Rovers,1 - 0
99,9,12/10/2022 19:45,Ashton Gate Stadium,Bristol City,Preston North End,2 - 1
100,9,25/10/2022 20:00,Turf Moor,Burnley,Norwich City,1 - 0
97,9,08/11/2022 19:45,St Andrew's,Birmingham City,Swansea City,2 - 2
98,9,08/11/2022 19:45,Bloomfield Road,Blackpool,Middlesbrough,0 - 3
101,9,08/11/2022 19:45,Cardiff City Stadium,Cardiff City,Hull City,2 - 3
103,9,08/11/2022 19:45,Loftus Road,Queens Park Rangers,Huddersfield Town,1 - 2
104,9,08/11/2022 19:45,Bramall Lane,Sheffield United,Rotherham United,0 - 1
105,9,08/11/2022 19:45,bet365 Stadium,Stoke City,Luton Town,2 - 0
107,9,08/11/2022 20:00,Vicarage Road,Watford,Reading,2 - 0
106,9,03/12/2022 12:30,Stadium of Light,Sunderland,Millwall,3 - 0
102,9,21/12/2022 19:45,Coventry Building Society Arena,Coventry City,West Bromwich Albion,1 - 0
109,10,13/09/2022 19:45,Ewood Park,Blackburn Rovers,Watford,2 - 0
110,10,13/09/2022 19:45,Kirklees Stadium,Huddersfield Town,Wigan Athletic,1 - 2
111,10,13/09/2022 19:45,MKM Stadium,Hull City,Stoke City,0 - 3
112,10,13/09/2022 19:45,Riverside Stadium,Middlesbrough,Cardiff City,2 - 3
114,10,13/09/2022 19:45,Swansea.com Stadium,Swansea City,Sheffield United,0 - 1
113,10,13/09/2022 20:00,Deepdale,Preston North End,Burnley,1 - 1
115,10,14/09/2022 19:45,Kenilworth Road,Luton Town,Coventry City,2 - 2
116,10,14/09/2022 19:45,The Den,Millwall,Queens Park Rangers,0 - 2
117,10,14/09/2022 19:45,Carrow Road,Norwich City,Bristol City,3 - 2
118,10,14/09/2022 19:45,New York Stadium,Rotherham United,Blackpool,3 - 0
119,10,14/09/2022 20:00,Madejski Stadium,Reading,Sunderland,0 - 3
120,10,14/09/2022 20:00,The Hawthorns,West Bromwich Albion,Birmingham City,2 - 3
130,11,17/09/2022 12:30,Swansea.com Stadium,Swansea City,Hull City,3 - 0
121,11,17/09/2022 15:00,St Andrew's,Birmingham City,Coventry City,0 - 0
122,11,17/09/2022 15:00,Turf Moor,Burnley,Bristol City,2 - 1
123,11,17/09/2022 15:00,Kirklees Stadium,Huddersfield Town,Cardiff City,1 - 0
124,11,17/09/2022 15:00,Kenilworth Road,Luton Town,Blackburn Rovers,2 - 0
126,11,17/09/2022 15:00,The Den,Millwall,Blackpool,2 - 1
127,11,17/09/2022 15:00,Carrow Road,Norwich City,West Bromwich Albion,1 - 1
