Match Number,Round Number,Date,Location,Home Team,Away Team,Result
128,11,17/09/2022 15:00,Deepdale,Preston North End,Sheffield United,0 - 2
129,11,17/09/2022 15:00,Loftus Road,Queens Park Rangers,Stoke City,0 - 0
131,11,17/09/2022 15:00,Vicarage Road,Watford,Sunderland,2 - 2
132,11,17/09/2022 15:00,DW Stadium,Wigan Athletic,Reading,0 - 1
125,11,17/09/2022 19:45,Riverside Stadium,Middlesbrough,Rotherham United,0 - 0
138,12,30/09/2022 20:00,MKM Stadium,Hull City,Luton Town,0 - 2
133,12,01/10/2022 15:00,Ewood Park,Blackburn Rovers,Millwall,2 - 1
134,12,01/10/2022 15:00,Bloomfield Road,Blackpool,Norwich City,0 - 1
135,12,01/10/2022 15:00,Ashton Gate Stadium,Bristol City,Queens Park Rangers,1 - 2
136,12,01/10/2022 15:00,Cardiff City Stadium,Cardiff City,Burnley,1 - 1
137,12,01/10/2022 15:00,Coventry Building Society Arena,Coventry City,Middlesbrough,1 - 0
139,12,01/10/2022 15:00,Madejski Stadium,Reading,Huddersfield Town,3 - 1
140,12,01/10/2022 15:00,New York Stadium,Rotherham United,Wigan Athletic,0 - 2
141,12,01/10/2022 15:00,Bramall Lane,Sheffield United,Birmingham City,1 - 1
143,12,01/10/2022 15:00,Stadium of Light,Sunderland,Preston North End,0 - 0
144,12,01/10/2022 15:00,The Hawthorns,West Bromwich Albion,Swansea City,2 - 3
142,12,02/10/2022 12:00,bet365 Stadium,Stoke City,Watford,0 - 4
145,13,04/10/2022 19:45,Ashton Gate Stadium,Bristol City,Coventry City,0 - 0
147,13,04/10/2022 19:45,Kenilworth Road,Luton Town,Huddersfield Town,3 - 3
148,13,04/10/2022 19:45,Bramall Lane,Sheffield United,Queens Park Rangers,0 - 1
149,13,04/10/2022 19:45,Stadium of Light,Sunderland,Blackpool,0 - 0
146,13,04/10/2022 20:00,Cardiff City Stadium,Cardiff City,Blackburn Rovers,1 - 0
150,13,04/10/2022 20:00,Madejski Stadium,Reading,Norwich City,1 - 1
151,13,05/10/2022 19:45,Turf Moor,Burnley,Stoke City,1 - 1
152,13,05/10/2022 19:45,MKM Stadium,Hull City,Wigan Athletic,2 - 1
153,13,05/10/2022 19:45,Riverside Stadium,Middlesbrough,Birmingham City,1 - 0
155,13,05/10/2022 19:45,New York Stadium,Rotherham United,Millwall,1 - 1
156,13,05/10/2022 19:45,Vicarage Road,Watford,Swansea City,1 - 2
154,13,05/10/2022 20:00,Deepdale,Preston North End,West Bromwich Albion,1 - 0
164,14,07/10/2022 20:00,Loftus Road,Queens Park Rangers,Reading,2 - 1
157,14,08/10/2022 15:00,St Andrew's,Birmingham City,Bristol City,3 - 0
158,14,08/10/2022 15:00,Ewood Park,Blackburn Rovers,Rotherham United,3 - 0
159,14,08/10/2022 15:00,Bloomfield Road,Blackpool,Watford,3 - 1
160,14,08/10/2022 15:00,Coventry Building Society Arena,Coventry City,Burnley,0 - 1
162,14,08/10/2022 15:00,The Den,Millwall,Middlesbrough,2 - 0
163,14,08/10/2022 15:00,Carrow Road,Norwich City,Preston North End,2 - 3
165,14,08/10/2022 15:00,bet365 Stadium,Stoke City,Sheffield United,3 - 1
166,14,08/10/2022 15:00,Swansea.com Stadium,Swansea City,Sunderland,2 - 1
167,14,08/10/2022 15:00,The Hawthorns,West Bromwich Albion,Luton Town,0 - 0
168,14,08/10/2022 15:00,DW Stadium,Wigan Athletic,Cardiff City,1 - 3
161,14,09/10/2022 12:00,Kirklees Stadium,Huddersfield Town,Hull City,2 - 0
173,15,15/10/2022 12:30,Kenilworth Road,Luton Town,Queens Park Rangers,3 - 1
177,15,15/10/2022 12:30,New York Stadium,Rotherham United,Huddersfield Town,2 - 1
169,15,15/10/2022 15:00,Ashton Gate Stadium,Bristol City,Millwall,1 - 2
170,15,15/10/2022 15:00,Turf Moor,Burnley,Swansea City,4 - 0
171,15,15/10/2022 15:00,Cardiff City Stadium,Cardiff City,Coventry City,0 - 1
174,15,15/10/2022 15:00,Riverside Stadium,Middlesbrough,Blackburn Rovers,1 - 2
175,15,15/10/2022 15:00,Deepdale,Preston North End,Stoke City,0 - 2
176,15,15/10/2022 15:00,Madejski Stadium,Reading,West Bromwich Albion,0 - 2
178,15,15/10/2022 15:00,Bramall Lane,Sheffield United,Blackpool,3 - 3
179,15,15/10/2022 15:00,Stadium of Light,Sunderland,Wigan Athletic,2 - 1
180,15,15/10/2022 19:45,Vicarage Road,Watford,Norwich City,2 - 1
172,15,16/10/2022 15:00,MKM Stadium,Hull City,Birmingham City,0 - 2
182,16,18/10/2022 19:45,Kirklees Stadium,Huddersfield Town,Preston North End,0 - 1
183,16,18/10/2022 19:45,Carrow Road,Norwich City,Luton Town,0 - 1
184,16,18/10/2022 19:45,Swansea.com Stadium,Swansea City,Reading,3 - 2
181,16,18/10/2022 20:00,Ewood Park,Blackburn Rovers,Sunderland,2 - 0
185,16,18/10/2022 20:00,bet365 Stadium,Stoke City,Rotherham United,0 - 1
186,16,18/10/2022 20:00,The Hawthorns,West Bromwich Albion,Bristol City,0 - 2
187,16,19/10/2022 19:45,St Andrew's,Birmingham City,Burnley,1 - 1
188,16,19/10/2022 19:45,Bloomfield Road,Blackpool,Hull City,1 - 3
189,16,19/10/2022 19:45,Coventry Building Society Arena,Coventry City,Sheffield United,1 - 0
191,16,19/10/2022 19:45,Loftus Road,Queens Park Rangers,Cardiff City,3 - 0
192,16,19/10/2022 19:45,DW Stadium,Wigan Athletic,Middlesbrough,1 - 4
190,16,19/10/2022 20:00,The Den,Millwall,Watford,3 - 0
194,17,22/10/2022 12:30,Bloomfield Road,Blackpool,Preston North End,4 - 2
193,17,22/10/2022 15:00,Ewood Park,Blackburn Rovers,Birmingham City,2 - 1
195,17,22/10/2022 15:00,Riverside Stadium,Middlesbrough,Huddersfield Town,0 - 0
196,17,22/10/2022 15:00,The Den,Millwall,West Bromwich Albion,2 - 1
197,17,22/10/2022 15:00,Loftus Road,Queens Park Rangers,Wigan Athletic,2 - 1
198,17,22/10/2022 15:00,Madejski Stadium,Reading,Bristol City,2 - 0
199,17,22/10/2022 15:00,New York Stadium,Rotherham United,Hull City,2 - 4
200,17,22/10/2022 15:00,Bramall Lane,Sheffield United,Norwich City,2 - 2
201,17,22/10/2022 15:00,bet365 Stadium,Stoke City,Coventry City,0 - 2
202,17,22/10/2022 15:00,Stadium of Light,Sunderland,Burnley,2 - 4
203,17,23/10/2022 12:00,Swansea.com Stadium,Swansea City,Cardiff City,2 - 0
204,17,23/10/2022 12:00,Vicarage Road,Watford,Luton Town,4 - 0
205,18,28/10/2022 20:00,St Andrew's,Birmingham City,Queens Park Rangers,2 - 0
206,18,29/10/2022 12:00,Ashton Gate Stadium,Bristol City,Swansea City,1 - 1
215,18,29/10/2022 12:30,The Hawthorns,West Bromwich Albion,Sheffield United,0 - 2
207,18,29/10/2022 15:00,Turf Moor,Burnley,Reading,2 - 1
208,18,29/10/2022 15:00,Cardiff City Stadium,Cardiff City,Rotherham United,1 - 0
209,18,29/10/2022 15:00,Coventry Building Society Arena,Coventry City,Blackpool,1 - 2
210,18,29/10/2022 15:00,Kirklees Stadium,Huddersfield Town,Millwall,1 - 0
211,18,29/10/2022 15:00,MKM Stadium,Hull City,Blackburn Rovers,0 - 1
212,18,29/10/2022 15:00,Kenilworth Road,Luton Town,Sunderland,1 - 1
213,18,29/10/2022 15:00,Carrow Road,Norwich City,Stoke City,3 - 1
214,18,29/10/2022 15:00,Deepdale,Preston North End,Middlesbrough,2 - 1
216,18,29/10/2022 15:00,DW Stadium,Wigan Athletic,Watford,0 - 1
218,19,01/11/2022 19:45,Coventry Building Society Arena,Coventry City,Blackburn Rovers,1 - 0
219,19,01/11/2022 19:45,MKM Stadium,Hull City,Middlesbrough,1 - 3
220,19,01/11/2022 19:45,Kenilworth Road,Luton Town,Reading,0 - 0
221,19,01/11/2022 19:45,Deepdale,Preston North End,Swansea City,1 - 0
217,19,01/11/2022 20:00,Ashton Gate Stadium,Bristol City,Sheffield United,0 - 1
222,19,01/11/2022 20:00,The Hawthorns,West Bromwich Albion,Blackpool,1 - 0
223,19,02/11/2022 19:45,St Andrew's,Birmingham City,Millwall,0 - 0
224,19,02/11/2022 19:45,Turf Moor,Burnley,Rotherham United,3 - 2
225,19,02/11/2022 19:45,Cardiff City Stadium,Cardiff City,Watford,1 - 2
226,19,02/11/2022 19:45,Kirklees Stadium,Huddersfield Town,Sunderland,0 - 2
227,19,02/11/2022 19:45,Carrow Road,Norwich City,Queens Park Rangers,0 - 0
228,19,02/11/2022 19:45,DW Stadium,Wigan Athletic,Stoke City,0 - 1
234,20,04/11/2022 20:00,Madejski Stadium,Reading,Preston North End,1 - 2
236,20,05/11/2022 12:30,Bramall Lane,Sheffield United,Burnley,5 - 2
229,20,05/11/2022 15:00,Ewood Park,Blackburn Rovers,Huddersfield Town,1 - 0
230,20,05/11/2022 15:00,Bloomfield Road,Blackpool,Luton Town,0 - 1
231,20,05/11/2022 15:00,Riverside Stadium,Middlesbrough,Bristol City,1 - 1
232,20,05/11/2022 15:00,The Den,Millwall,Hull City,0 - 0
233,20,05/11/2022 15:00,Loftus Road,Queens Park Rangers,West Bromwich Albion,0 - 1
235,20,05/11/2022 15:00,New York Stadium,Rotherham United,Norwich City,1 - 2
237,20,05/11/2022 15:00,bet365 Stadium,Stoke City,Birmingham City,1 - 2
238,20,05/11/2022 15:00,Stadium of Light,Sunderland,Cardiff City,0 - 1
239,20,05/11/2022 15:00,Swansea.com Stadium,Swansea City,Wigan Athletic,2 - 2
240,20,05/11/2022 15:00,Vicarage Road,Watford,Coventry City,0 - 1
241,21,11/11/2022 20:00,St Andrew's,Birmingham City,Sunderland,1 - 2
242,21,12/11/2022 15:00,Ashton Gate Stadium,Bristol City,Watford,0 - 0
244,21,12/11/2022 15:00,Cardiff City Stadium,Cardiff City,Sheffield United,0 - 1
245,21,12/11/2022 15:00,Coventry Building Society Arena,Coventry City,Queens Park Rangers,2 - 0
246,21,12/11/2022 15:00,Kirklees Stadium,Huddersfield Town,Swansea City,0 - 0
247,21,12/11/2022 15:00,MKM Stadium,Hull City,Reading,1 - 2
248,21,12/11/2022 15:00,Kenilworth Road,Luton Town,Rotherham United,1 - 1
249,21,12/11/2022 15:00,Carrow Road,Norwich City,Middlesbrough,1 - 2
250,21,12/11/2022 15:00,Deepdale,Preston North End,Millwall,2 - 4
251,21,12/11/2022 15:00,The Hawthorns,West Bromwich Albion,Stoke City,2 - 0
252,21,12/11/2022 15:00,DW Stadium,Wigan Athletic,Blackpool,2 - 1
243,21,13/11/2022 12:30,Turf Moor,Burnley,Blackburn Rovers,3 - 0
253,22,10/12/2022 12:00,Ewood Park,Blackburn Rovers,Preston North End,1 - 4
259,22,10/12/2022 12:30,New York Stadium,Rotherham United,Bristol City,1 - 3
254,22,10/12/2022 15:00,Bloomfield Road,Blackpool,Birmingham City,0 - 0
255,22,10/12/2022 15:00,Riverside Stadium,Middlesbrough,Luton Town,2 - 1
256,22,10/12/2022 15:00,The Den,Millwall,Wigan Athletic,1 - 1
258,22,10/12/2022 15:00,Madejski Stadium,Reading,Coventry City,1 - 0
260,22,10/12/2022 15:00,Bramall Lane,Sheffield United,Huddersfield Town,1 - 0
261,22,10/12/2022 15:00,bet365 Stadium,Stoke City,Cardiff City,2 - 2
263,22,10/12/2022 15:00,Swansea.com Stadium,Swansea City,Norwich City,0 - 1
257,22,11/12/2022 13:00,Loftus Road,Queens Park Rangers,Burnley,0 - 3
264,22,11/12/2022 15:00,Vicarage Road,Watford,Hull City,0 - 0
262,22,12/12/2022 20:00,Stadium of Light,Sunderland,West Bromwich Albion,1 - 2
265,23,16/12/2022 20:00,St Andrew's,Birmingham City,Reading,3 - 2
266,23,17/12/2022 15:00,Ashton Gate Stadium,Bristol City,Stoke City,1 - 2
267,23,17/12/2022 15:00,Turf Moor,Burnley,Middlesbrough,3 - 1
268,23,17/12/2022 15:00,Cardiff City Stadium,Cardiff City,Blackpool,1 - 1
269,23,17/12/2022 15:00,Coventry Building Society Arena,Coventry City,Swansea City,3 - 3
270,23,17/12/2022 15:00,Kirklees Stadium,Huddersfield Town,Watford,0 - 2
271,23,17/12/2022 15:00,MKM Stadium,Hull City,Sunderland,1 - 1
274,23,17/12/2022 15:00,Deepdale,Preston North End,Queens Park Rangers,0 - 1
275,23,17/12/2022 15:00,The Hawthorns,West Bromwich Albion,Rotherham United,3 - 0
273,23,17/12/2022 17:30,Carrow Road,Norwich City,Blackburn Rovers,0 - 2
276,23,19/12/2022 20:00,DW Stadium,Wigan Athletic,Sheffield United,1 - 2
272,23,28/02/2023 20:00,Kenilworth Road,Luton Town,Millwall,2 - 2
288,24,26/12/2022 12:00,Vicarage Road,Watford,Millwall,0 - 2
287,24,26/12/2022 12:30,Stadium of Light,Sunderland,Blackburn Rovers,2 - 1
277,24,26/12/2022 15:00,Ashton Gate Stadium,Bristol City,West Bromwich Albion,0 - 2
280,24,26/12/2022 15:00,MKM Stadium,Hull City,Blackpool,1 - 1
282,24,26/12/2022 15:00,Riverside Stadium,Middlesbrough,Wigan Athletic,4 - 1
283,24,26/12/2022 15:00,Deepdale,Preston North End,Huddersfield Town,1 - 2
285,24,26/12/2022 15:00,New York Stadium,Rotherham United,Stoke City,2 - 2
286,24,26/12/2022 15:00,Bramall Lane,Sheffield United,Coventry City,3 - 1
279,24,26/12/2022 17:15,Cardiff City Stadium,Cardiff City,Queens Park Rangers,0 - 0
281,24,26/12/2022 19:45,Kenilworth Road,Luton Town,Norwich City,2 - 1
284,24,27/12/2022 17:15,Madejski Stadium,Reading,Swansea City,2 - 1
278,24,27/12/2022 20:00,Turf Moor,Burnley,Birmingham City,3 - 0
296,25,29/12/2022 18:00,Loftus Road,Queens Park Rangers,Luton Town,0 - 3
290,25,29/12/2022 19:45,Ewood Park,Blackburn Rovers,Middlesbrough,1 - 2
292,25,29/12/2022 19:45,Coventry Building Society Arena,Coventry City,Cardiff City,0 - 0
293,25,29/12/2022 19:45,Kirklees Stadium,Huddersfield Town,Rotherham United,2 - 0
294,25,29/12/2022 19:45,The Den,Millwall,Bristol City,0 - 0
298,25,29/12/2022 19:45,DW Stadium,Wigan Athletic,Sunderland,1 - 4
300,25,29/12/2022 20:00,The Hawthorns,West Bromwich Albion,Preston North End,2 - 0
291,25,29/12/2022 20:15,Bloomfield Road,Blackpool,Sheffield United,1 - 2
289,25,30/12/2022 19:45,St Andrew's,Birmingham City,Hull City,0 - 1
295,25,30/12/2022 19:45,Carrow Road,Norwich City,Reading,1 - 1
297,25,30/12/2022 19:45,Swansea.com Stadium,Swansea City,Watford,4 - 0
299,25,30/12/2022 19:45,bet365 Stadium,Stoke City,Burnley,0 - 1
302,26,01/01/2023 12:00,Ewood Park,Blackburn Rovers,Cardiff City,1 - 0
303,26,01/01/2023 15:00,Bloomfield Road,Blackpool,Sunderland,1 - 1
304,26,01/01/2023 15:00,Coventry Building Society Arena,Coventry City,Bristol City,1 - 1
305,26,01/01/2023 15:00,Kirklees Stadium,Huddersfield Town,Luton Town,1 - 2
306,26,01/01/2023 15:00,The Den,Millwall,Rotherham United,3 - 0
301,26,02/01/2023 15:00,St Andrew's,Birmingham City,Middlesbrough,1 - 3
307,26,02/01/2023 15:00,Carrow Road,Norwich City,Watford,0 - 1
309,26,02/01/2023 15:00,bet365 Stadium,Stoke City,Preston North End,0 - 1
310,26,02/01/2023 15:00,Swansea.com Stadium,Swansea City,Burnley,1 - 2
311,26,02/01/2023 15:00,The Hawthorns,West Bromwich Albion,Reading,1 - 0
312,26,02/01/2023 15:00,DW Stadium,Wigan Athletic,Hull City,1 - 4
308,26,02/01/2023 20:00,Loftus Road,Queens Park Rangers,Sheffield United,1 - 1
321,27,14/01/2023 12:30,New York Stadium,Rotherham United,Blackburn Rovers,4 - 0
313,27,14/01/2023 15:00,Ashton Gate Stadium,Bristol City,Birmingham City,4 - 2
314,27,14/01/2023 15:00,Turf Moor,Burnley,Coventry City,1 - 0
315,27,14/01/2023 15:00,Cardiff City Stadium,Cardiff City,Wigan Athletic,1 - 1
316,27,14/01/2023 15:00,MKM Stadium,Hull City,Huddersfield Town,1 - 1
317,27,14/01/2023 15:00,Kenilworth Road,Luton Town,West Bromwich Albion,2 - 3
318,27,14/01/2023 15:00,Riverside Stadium,Middlesbrough,Millwall,1 - 0
319,27,14/01/2023 15:00,Deepdale,Preston North End,Norwich City,0 - 4
320,27,14/01/2023 15:00,Madejski Stadium,Reading,Queens Park Rangers,2 - 2
322,27,14/01/2023 15:00,Bramall Lane,Sheffield United,Stoke City,3 - 1
323,27,14/01/2023 15:00,Stadium of Light,Sunderland,Swansea City,1 - 3
324,27,14/01/2023 15:00,Vicarage Road,Watford,Blackpool,2 - 0
332,28,20/01/2023 19:45,Bramall Lane,Sheffield United,Hull City,1 - 0
328,28,20/01/2023 20:00,Turf Moor,Burnley,West Bromwich Albion,2 - 1
